date,time,segment,scan.no,obs.sp,obs.no,foraging,preening,locomotion,resting,alert,remarks
30.1.20,9:30 AM,158,1,Broad-billed Sandpiper,4,4,0,0,0,0,
30.1.20,9:30 AM,158,1,Lesser Sand Plover,71,71,0,0,0,0,
30.1.20,9:50 AM,158,2,Black-tailed Godwit,14,14,0,0,0,0,
30.1.20,9:50 AM,158,2,Grey Plover,1,1,0,0,0,0,
30.1.20,9:50 AM,158,2,Common Redshank,6,6,0,0,0,0,
30.1.20,9:50 AM,158,2,Pied Avocet,5,5,0,0,0,0,
30.1.20,9:50 AM,158,2,Bar-tailed Godwit,4,4,0,0,0,0,
30.1.20,9:50 AM,158,2,Terek Sandpiper,1,1,0,0,0,0,
30.1.20,9:50 AM,158,2,Broad-billed Sandpiper,5,5,0,0,0,0,
30.1.20,9:50 AM,158,2,Curlew Sandpiper,1,1,0,0,0,0,
30.1.20,9:50 AM,158,2,Dunlin,2,2,0,0,0,0,
30.1.20,9:50 AM,158,2,Lesser Sand Plover,70,70,0,0,0,0,
30.1.20,10:10 AM,158,3,Common Greenshank,1,1,0,0,0,0,
30.1.20,10:10 AM,158,3,Common Redshank,6,6,0,0,0,0,
30.1.20,10:10 AM,158,3,Black-tailed Godwit,14,5,9,0,0,0,
30.1.20,10:10 AM,158,3,Pied Avocet,9,2,7,0,0,0,
30.1.20,10:10 AM,158,3,Broad-billed Sandpiper,2,2,0,0,0,0,
30.1.20,10:10 AM,158,3,Dunlin,2,2,0,0,0,0,
30.1.20,10:10 AM,158,3,Grey Plover,3,2,0,0,1,0,
30.1.20,10:10 AM,158,3,Curlew Sandpiper,3,3,0,0,0,0,
30.1.20,10:10 AM,158,3,Bar-tailed Godwit,2,2,0,0,0,0,
30.1.20,10:10 AM,158,3,Lesser Sand Plover,2300,2300,0,0,0,0,
30.1.20,10:30 AM,158,4,Common Greenshank,2,2,0,0,0,0,
30.1.20,10:30 AM,158,4,Grey Plover,4,0,0,0,4,0,
30.1.20,10:30 AM,158,4,Black-tailed Godwit,8,0,0,0,8,0,
