date,segment,sample.no,temp
25.3.20,154,6,28
18.3.20,163,1,29
18.3.20,163,2,28
18.3.20,163,3,27
18.3.20,163,4,27
18.3.20,163,5,28
18.3.20,163,6,27
20.3.20,151,1,34
20.3.20,151,2,33
20.3.20,151,3,32
20.3.20,151,4,31
20.3.20,151,5,31
20.3.20,151,6,32
