segment,replicate.no,obs.sp,total_attempts,success_attempts,duration,worms1,crabs1,fishfry1,mollusks1,success_prop,worms,crabs,mollusks,fishfry,food.div,food.rich,food.abund,high.count,total.count,prop.foraging,prop.preening,prop.locomotion,prop.resting,prop.alert,high.div,rich,high.abund,total.div,total.abund,temp,pref,island
9,1,Black-headed Ibis,24,13,3,0,0,0,0,0.541666667,100,0,0,0,0,1,100,26,17,0.568627451,0.098039216,0.18627451,0.147058824,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,23,13,3,0,0,0,0,0.565217391,100,0,0,0,0,1,100,26,17,0.568627451,0.098039216,0.18627451,0.147058824,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Eurasian Curlew,31,11,3,0,0,0,0,0.35483871,100,0,0,0,0,1,100,4,2,0.75,0.083333333,0.083333333,0.083333333,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Common Greenshank,23,7,3,0,0,0,0,0.304347826,100,0,0,0,0,1,100,4,2.333333333,0.928571429,0.071428571,0,0,0,1.029778219,5,38,0.778190209,22,18,prefers worms,Nijhum Dweep
9,1,Black-headed Ibis,29,12,3,0,0,0,0,0.413793103,100,0,0,0,0,1,100,26,17,0.568627451,0.098039216,0.18627451,0.147058824,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,25,15,3,0,0,0,0,0.6,100,0,0,0,0,1,100,26,17,0.568627451,0.098039216,0.18627451,0.147058824,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,27,13,3,0,0,0,0,0.481481481,100,0,0,0,0,1,100,26,17,0.568627451,0.098039216,0.18627451,0.147058824,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Common Greenshank,18,5,3,0,0,0,0,0.277777778,100,0,0,0,0,1,100,4,2.333333333,0.928571429,0.071428571,0,0,0,1.029778219,5,38,0.778190209,22,18,prefers worms,Nijhum Dweep
9,1,Common Greenshank,24,8,3,0,0,0,0,0.333333333,100,0,0,0,0,1,100,4,2.333333333,0.928571429,0.071428571,0,0,0,1.029778219,5,38,0.778190209,22,18,prefers worms,Nijhum Dweep
9,1,Black-headed Ibis,21,6,3,0,0,0,0,0.285714286,100,0,0,0,0,1,100,26,17,0.568627451,0.098039216,0.18627451,0.147058824,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Common Greenshank,45,15,3,0,0,0,0,0.333333333,100,0,0,0,0,1,100,4,2.333333333,0.928571429,0.071428571,0,0,0,1.029778219,5,38,0.778190209,22,18,prefers worms,Nijhum Dweep
9,1,Black-headed Ibis,32,12,3,2,0,10,0,0.375,100,0,0,0,0,1,100,26,17,0.568627451,0.098039216,0.18627451,0.147058824,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,26,13,3,0,0,0,0,0.5,100,0,0,0,0,1,100,26,17,0.568627451,0.098039216,0.18627451,0.147058824,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,22,14,3,0,0,0,0,0.636363636,100,0,0,0,0,1,100,26,17,0.568627451,0.098039216,0.18627451,0.147058824,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,20,6,3,0,0,0,0,0.3,100,0,0,0,0,1,100,26,17,0.568627451,0.098039216,0.18627451,0.147058824,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Black-headed Ibis,13,3,3,0,0,0,0,0.230769231,100,0,0,0,0,1,100,26,17,0.568627451,0.098039216,0.18627451,0.147058824,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Common Greenshank,48,13,3,9,3,0,0,0.270833333,100,0,0,0,0,1,100,4,2.333333333,0.928571429,0.071428571,0,0,0,1.029778219,5,38,0.778190209,22,18,prefers worms,Nijhum Dweep
9,1,Common Greenshank,55,18,3,0,0,0,0,0.327272727,100,0,0,0,0,1,100,4,2.333333333,0.928571429,0.071428571,0,0,0,1.029778219,5,38,0.778190209,22,18,prefers worms,Nijhum Dweep
9,1,Eurasian Curlew,43,9,3,3,5,0,1,0.209302326,100,0,0,0,0,1,100,4,2,0.75,0.083333333,0.083333333,0.083333333,0,1.029778219,5,38,0.778190209,22,18,prefers other foods,Nijhum Dweep
9,1,Common Redshank,74,17,3,0,0,0,0,0.22972973,100,0,0,0,0,1,100,3,0.5,1,0,0,0,0,1.029778219,5,38,0.778190209,22,18,prefers worms,Nijhum Dweep
