segment,replicate.no,obs.sp,total_attempts,success_attempts,duration,worms1,crabs1,fishfry1,mollusks1,success_prop,worms,crabs,mollusks,fishfry,food.div,food.rich,food.abund,high.count,total.count,prop.foraging,prop.preening,prop.locomotion,prop.resting,prop.alert,n,high.div,rich,high.abund,total.div,total.rich,total.abund,temp,dryweight,pref,island
5,1,Common Redshank,61,8,3,0,0,0,0,0.131147541,500,34,100,0,0.633039512,3,634,3,1,1,0,0,0,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers worms,Nijhum Dweep
5,1,Common Greenshank,18,4,2,0,0,0,0,0.222222222,500,34,100,0,0.633039512,3,634,2,0.833333333,1,0,0,0,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers worms,Nijhum Dweep
5,1,Common Greenshank,27,7,3,0,0,0,0,0.259259259,500,34,100,0,0.633039512,3,634,2,0.833333333,1,0,0,0,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers worms,Nijhum Dweep
5,1,Eurasian Curlew,22,12,3,0,0,0,0,0.545454545,500,34,100,0,0.633039512,3,634,14,5.333333333,0.84375,0.03125,0,0.125,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers other foods,Nijhum Dweep
5,1,Eurasian Curlew,27,17,3,0,0,0,0,0.62962963,500,34,100,0,0.633039512,3,634,14,5.333333333,0.84375,0.03125,0,0.125,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers other foods,Nijhum Dweep
5,1,Common Greenshank,28,9,3,0,0,0,0,0.321428571,500,34,100,0,0.633039512,3,634,2,0.833333333,1,0,0,0,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers worms,Nijhum Dweep
5,1,Common Greenshank,17,4,3,0,0,0,0,0.235294118,500,34,100,0,0.633039512,3,634,2,0.833333333,1,0,0,0,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers worms,Nijhum Dweep
5,1,Common Greenshank,22,9,3,0,0,0,0,0.409090909,500,34,100,0,0.633039512,3,634,2,0.833333333,1,0,0,0,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers worms,Nijhum Dweep
5,1,Common Greenshank,28,7,3,0,0,0,0,0.25,500,34,100,0,0.633039512,3,634,2,0.833333333,1,0,0,0,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers worms,Nijhum Dweep
5,1,Common Greenshank,29,12,3,0,0,0,0,0.413793103,500,34,100,0,0.633039512,3,634,2,0.833333333,1,0,0,0,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers worms,Nijhum Dweep
5,1,Eurasian Curlew,15,3,3,0,0,0,0,0.2,500,34,100,0,0.633039512,3,634,14,5.333333333,0.84375,0.03125,0,0.125,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers other foods,Nijhum Dweep
5,1,Lesser/Greater Sand-Plover,39,4,3,0,0,0,0,0.102564103,500,34,100,0,0.633039512,3,634,2,0.333333333,1,0,0,0,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers worms,Nijhum Dweep
5,1,Eurasian Curlew,27,9,3,0,0,0,0,0.333333333,500,34,100,0,0.633039512,3,634,14,5.333333333,0.84375,0.03125,0,0.125,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers other foods,Nijhum Dweep
5,1,Lesser/Greater Sand-Plover,23,6,3,0,0,0,0,0.260869565,500,34,100,0,0.633039512,3,634,2,0.333333333,1,0,0,0,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers worms,Nijhum Dweep
5,1,Eurasian Curlew,15,5,3,0,2,3,0,0.333333333,500,34,100,0,0.633039512,3,634,14,5.333333333,0.84375,0.03125,0,0.125,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers other foods,Nijhum Dweep
5,1,Eurasian Curlew,19,11,3,0,0,0,0,0.578947368,500,34,100,0,0.633039512,3,634,14,5.333333333,0.84375,0.03125,0,0.125,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers other foods,Nijhum Dweep
5,1,Eurasian Curlew,29,12,3,0,0,0,0,0.413793103,500,34,100,0,0.633039512,3,634,14,5.333333333,0.84375,0.03125,0,0.125,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers other foods,Nijhum Dweep
5,1,Common Redshank,59,9,3,0,1,4,2,0.152542373,500,34,100,0,0.633039512,3,634,3,1,1,0,0,0,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers worms,Nijhum Dweep
5,1,Common Sandpiper,28,2,2,0,0,0,0,0.071428571,500,34,100,0,0.633039512,3,634,0,0,0,0,0,0,0,2,0.970123579,9,129,1.458886669,8,18,21,351,prefers other foods,Nijhum Dweep
2,1,Common Redshank,44,14,3,0,0,0,0,0.318181818,450,34,50,0,0.538556946,3,534,32,11.33333333,0.926470588,0.029411765,0.044117647,0,0,2,1.8976395,11,98,1.601246231,10,25,20.83333333,312,prefers worms,Nijhum Dweep
2,1,Common Redshank,44,19,3,0,0,0,0,0.431818182,450,34,50,0,0.538556946,3,534,32,11.33333333,0.926470588,0.029411765,0.044117647,0,0,2,1.8976395,11,98,1.601246231,10,25,20.83333333,312,prefers worms,Nijhum Dweep
2,1,Lesser/Greater Sand-Plover,6,1,3,0,0,0,0,0.166666667,450,34,50,0,0.538556946,3,534,18,6,0.833333333,0.097222222,0.013888889,0.055555556,0,2,1.8976395,11,98,1.601246231,10,25,20.83333333,312,prefers worms,Nijhum Dweep
2,1,Lesser/Greater Sand-Plover,15,6,3,0,0,0,0,0.4,450,34,50,0,0.538556946,3,534,18,6,0.833333333,0.097222222,0.013888889,0.055555556,0,2,1.8976395,11,98,1.601246231,10,25,20.83333333,312,prefers worms,Nijhum Dweep
2,1,Lesser/Greater Sand-Plover,15,9,3,0,0,0,0,0.6,450,34,50,0,0.538556946,3,534,18,6,0.833333333,0.097222222,0.013888889,0.055555556,0,2,1.8976395,11,98,1.601246231,10,25,20.83333333,312,prefers worms,Nijhum Dweep
2,1,Eurasian Curlew,61,11,3,0,0,0,0,0.180327869,450,34,50,0,0.538556946,3,534,6,1.666666667,1,0,0,0,0,2,1.8976395,11,98,1.601246231,10,25,20.83333333,312,prefers other foods,Nijhum Dweep
2,1,Common Redshank,27,7,3,0,0,0,0,0.259259259,450,34,50,0,0.538556946,3,534,32,11.33333333,0.926470588,0.029411765,0.044117647,0,0,2,1.8976395,11,98,1.601246231,10,25,20.83333333,312,prefers worms,Nijhum Dweep
