"segment","replicate.no","worms","crabs","mollusks","fishfry","food.div","food.rich","food.abund","obs.sp","high.count","total.count","prop.foraging","prop.preening","prop.locomotion","prop.resting","prop.alert","high.div","rich","high.abund","total.div","total.abund","temp","pref","island"
2,1,25,1,0,1,0.315396287422662,3,27,"Curlew Sandpiper",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Dunlin",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Eurasian Curlew",1,2,1,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers other foods","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Great Knot",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers other foods","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Great Thick-knee",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers other foods","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Grey-headed Lapwing",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers other foods","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Grey Plover",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Kentish Plover",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers other foods","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Lesser Sand Plover",15,41,0.804878048780488,0.170731707317073,0.024390243902439,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Little Ringed Plover",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Little Stint",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Nordmann's Greenshank/",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Pacific Golden-Plover",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Pied Avocet",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Red Knot",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers other foods","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Ruddy Turnstone",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers other foods","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Ruff",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Sanderling",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Small Pratincole",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Spoon-billed Sandpiper",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers other foods","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Temminck's Stint",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Terek Sandpiper",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers worms","Nijhum Dweep"
2,1,25,1,0,1,0.315396287422662,3,27,"Whimbrel",0,0,0,0,0,0,0,1.0580827855515,4,30,0.954459418890665,92,17.5,"prefers other foods","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Asian Dowitcher",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Bar-tailed Godwit",0,0,0,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers worms","Nijhum Dweep"
2,2,29,2,6,0,0.643663041128117,3,37,"Black-headed Ibis",11,27,1,0,0,0,0,1.85536584685188,11,96,1.74827012177934,212,24.1666666666667,"prefers other foods","Nijhum Dweep"
