,GroupID,Station,Edge_Type,EXP,Replicate,OSO,ABO,CSO,OBO,BHO,SBEO,BWO,MSO,CO,BFO,Total_Ind,Total_Sp.,Tree.density,GBH,H,liana,p_lia
81,ATE,ATE3,TE,ST,1,0,3,0,0,0,0,0,0,0,0,3,1,NA,NA,NA,NA,NA
82,ATE,ATE2,TE,ST,1,1,2,0,0,2,0,0,0,0,0,5,3,NA,NA,NA,NA,NA
83,ATE,ATE1,TE,ST,1,0,2,1,0,2,0,0,0,0,0,5,3,NA,NA,NA,NA,NA
84,ATE,ATE123,TE,GT,1,1,7,1,0,4,0,0,0,0,0,13,4,NA,NA,NA,NA,NA
85,DPE,DPE12,PE,ST,1,0,2,0,0,0,0,0,0,0,0,2,1,NA,NA,NA,NA,NA
86,DPE,DPE11,PE,ST,1,0,3,1,0,0,0,0,0,0,0,4,2,NA,NA,NA,NA,NA
87,DPE,DPE10,PE,ST,1,0,3,2,0,0,0,0,0,0,0,5,2,NA,NA,NA,NA,NA
88,DPE,DPE101112,PE,GT,1,0,8,3,0,0,0,0,0,0,0,11,2,NA,NA,NA,NA,NA
89,FTE,FTE18,TE,ST,1,0,2,1,0,0,0,0,0,0,0,3,2,NA,NA,NA,NA,NA
90,FTE,FTE17,TE,ST,1,1,3,1,0,2,0,0,0,0,0,7,4,NA,NA,NA,NA,NA
91,FTE,FTE16,TE,ST,1,2,1,0,0,3,0,0,0,0,0,6,3,NA,NA,NA,NA,NA
92,FTE,FTE161718,TE,GT,1,3,6,2,0,5,0,0,0,0,0,16,4,NA,NA,NA,NA,NA
